index,line,category,role,tag,enabled,source,kind,decision,repo_path,new_url,original_url,bytes,status,error
38,98,filter_remote,rule,Hijacking,true,blackmatrix7/ios_rule_script,raw,organized,quantumult/filter_remote/hijacking.list,https://raw.githubusercontent.com/jimmymitlavigne/PinkRules/master/quantumult/filter_remote/hijacking.list,https://raw.githubusercontent.com/blackmatrix7/ios_rule_script/refs/heads/master/rule/QuantumultX/Hijacking/Hijacking.list,8176,copied,
39,99,filter_remote,rule,AdBlock,true,jimmymitlavigne/pinkrules,raw,organized,quantumult/filter_remote/adblock.list,https://raw.githubusercontent.com/jimmymitlavigne/PinkRules/master/quantumult/filter_remote/adblock.list,https://raw.githubusercontent.com/jimmymitlavigne/pinkrules/master/pinkqx/AdBlock.list,297174,copied,
40,101,filter_remote,rule,TV,true,jimmymitlavigne/pinkrules,raw,organized,quantumult/filter_remote/tv.list,https://raw.githubusercontent.com/jimmymitlavigne/PinkRules/master/quantumult/filter_remote/tv.list,https://raw.githubusercontent.com/jimmymitlavigne/pinkrules/master/pinkqx/TV.list,1759,copied,
41,102,filter_remote,rule,Work,true,jimmymitlavigne/PinkRules,raw,organized,quantumult/filter_remote/work.list,https://raw.githubusercontent.com/jimmymitlavigne/PinkRules/master/quantumult/filter_remote/work.list,https://raw.githubusercontent.com/jimmymitlavigne/PinkRules/master/pinkqx/working.list,396,copied,
42,103,filter_remote,rule,Portal,true,jimmymitlavigne/PinkRules,raw,organized,quantumult/filter_remote/portal.list,https://raw.githubusercontent.com/jimmymitlavigne/PinkRules/master/quantumult/filter_remote/portal.list,https://raw.githubusercontent.com/jimmymitlavigne/PinkRules/master/pinkqx/Portal.list,23050,copied,
43,104,filter_remote,rule,Infuse,true,jimmymitlavigne/PinkRules,raw,organized,quantumult/filter_remote/infuse.list,https://raw.githubusercontent.com/jimmymitlavigne/PinkRules/master/quantumult/filter_remote/infuse.list,https://raw.githubusercontent.com/jimmymitlavigne/PinkRules/master/pinkqx/Infuse.list,233,copied,
44,105,filter_remote,rule,Storage,true,jimmymitlavigne/PinkRules,raw,organized,quantumult/filter_remote/storage.list,https://raw.githubusercontent.com/jimmymitlavigne/PinkRules/master/quantumult/filter_remote/storage.list,https://raw.githubusercontent.com/jimmymitlavigne/PinkRules/master/pinkqx/Storage.list,711,copied,
45,106,filter_remote,rule,Mail,true,jimmymitlavigne/PinkRules,raw,organized,quantumult/filter_remote/mail.list,https://raw.githubusercontent.com/jimmymitlavigne/PinkRules/master/quantumult/filter_remote/mail.list,https://raw.githubusercontent.com/jimmymitlavigne/PinkRules/master/pinkqx/Mail.list,169,copied,
46,107,filter_remote,rule,News,true,jimmymitlavigne/PinkRules,raw,organized,quantumult/filter_remote/news.list,https://raw.githubusercontent.com/jimmymitlavigne/PinkRules/master/quantumult/filter_remote/news.list,https://raw.githubusercontent.com/jimmymitlavigne/PinkRules/master/pinkqx/News.list,776,copied,
47,108,filter_remote,rule,AC,true,jimmymitlavigne/pinkrules,raw,organized,quantumult/filter_remote/ac.list,https://raw.githubusercontent.com/jimmymitlavigne/PinkRules/master/quantumult/filter_remote/ac.list,https://raw.githubusercontent.com/jimmymitlavigne/pinkrules/master/pinkqx/AC.list,2332,copied,
